iter	Passed	Remaining
0	0	596
1	1	552
2	1	522
3	2	510
4	2	500
5	2	493
6	3	484
7	3	491
8	4	493
9	4	494
10	5	491
11	5	488
12	6	490
13	6	491
14	7	488
15	7	487
16	8	485
17	8	482
18	9	480
19	9	478
20	10	482
21	10	482
22	11	480
23	11	479
24	12	479
25	12	479
26	13	477
27	13	477
28	14	475
29	14	474
30	15	472
31	15	472
32	16	473
33	16	472
34	17	471
35	17	470
36	18	469
37	18	470
38	19	469
39	19	468
40	20	469
41	20	469
42	21	469
43	21	469
44	22	469
45	22	468
46	23	468
47	23	467
48	24	466
49	24	465
50	24	465
51	25	464
52	25	463
53	26	462
54	26	461
55	27	460
56	27	459
57	28	458
58	28	458
59	29	457
60	29	456
61	30	455
62	30	455
63	31	454
64	31	453
65	31	452
66	32	452
67	32	448
68	33	448
69	33	447
70	34	447
71	34	447
72	35	447
73	35	446
74	36	445
75	36	445
76	37	444
77	37	443
78	38	443
79	38	442
80	38	442
81	39	441
82	39	441
83	40	441
84	40	439
85	41	438
86	41	435
87	41	434
88	42	434
89	42	434
90	43	433
91	43	433
92	44	432
93	44	431
94	45	430
95	45	430
96	46	429
97	46	428
98	47	427
99	47	427
100	48	427
101	48	426
102	48	425
103	49	425
104	49	425
105	50	425
106	50	424
107	51	423
108	51	422
109	52	421
110	52	421
111	53	420
112	53	419
113	53	418
114	54	417
115	54	416
116	55	415
117	55	415
118	55	413
119	56	413
120	56	412
121	57	411
122	57	409
123	57	408
124	58	408
125	58	407
126	59	407
127	59	405
128	59	405
129	60	404
130	60	403
131	61	402
132	61	402
133	62	401
134	62	400
135	62	399
136	63	399
137	63	398
138	64	398
139	64	398
140	65	397
141	65	397
142	66	396
143	66	396
144	67	396
145	67	395
146	68	394
147	68	394
148	68	393
149	69	393
150	69	393
151	70	392
152	70	392
153	71	391
154	71	391
155	72	390
156	72	390
157	73	390
158	73	390
159	74	390
160	74	389
161	75	389
162	75	388
163	76	388
164	76	387
165	77	387
166	77	386
167	78	386
168	78	386
169	79	386
170	79	385
171	80	385
172	80	385
173	81	384
174	81	384
175	82	384
176	82	383
177	82	382
178	83	382
179	83	382
180	84	380
181	84	380
182	85	379
183	85	379
184	86	379
185	86	378
186	86	377
187	87	377
188	87	376
189	88	376
190	88	375
191	89	374
192	89	374
193	90	374
194	90	373
195	91	373
196	91	372
197	91	372
198	92	371
199	92	371
200	93	370
201	93	370
202	94	370
203	94	369
204	95	369
205	95	368
206	96	367
207	96	367
208	96	366
209	97	366
210	97	365
211	98	365
212	98	364
213	99	364
214	99	364
215	100	364
216	100	363
217	101	363
218	101	362
219	102	362
220	102	362
221	103	362
222	103	361
223	104	361
224	104	360
225	105	360
226	105	359
227	106	358
228	106	358
229	106	358
230	107	357
231	107	356
232	108	356
233	108	355
234	109	355
235	109	355
236	110	354
237	110	354
238	111	354
239	111	353
240	112	352
241	112	352
242	113	352
243	113	351
244	114	351
245	114	350
246	114	350
247	115	349
248	115	348
249	116	348
250	116	348
251	117	347
252	117	347
253	118	346
254	118	346
255	119	346
256	119	345
257	120	345
258	120	345
259	121	344
260	121	344
261	122	344
262	122	343
263	123	343
264	123	342
265	123	342
266	124	341
267	124	341
268	125	340
