iter	Passed	Remaining
0	142	142797
1	143	71655
2	144	47936
3	144	36076
4	145	28990
5	146	24229
6	146	20828
7	147	18275
8	147	16288
9	148	14710
10	149	13428
11	149	12344
12	150	11423
13	150	10629
14	151	9940
15	151	9337
16	152	8805
17	152	8335
18	153	7914
19	153	7533
20	154	7190
21	154	6877
22	155	6592
23	155	6330
24	156	6088
25	156	5864
26	156	5657
27	157	5465
28	157	5285
29	158	5117
30	158	4961
31	159	4819
32	159	4682
33	160	4555
34	160	4436
35	161	4321
36	161	4212
37	162	4109
38	162	4011
39	163	3919
40	163	3830
41	164	3748
42	164	3669
43	165	3595
44	166	3525
45	166	3457
46	167	3402
47	168	3338
48	168	3276
49	169	3217
50	169	3161
51	170	3107
52	171	3057
53	171	3008
54	172	2963
55	172	2915
56	173	2870
57	173	2825
58	174	2781
59	174	2738
60	175	2697
61	175	2657
62	176	2618
63	176	2581
64	177	2547
65	177	2512
66	178	2479
67	178	2446
68	179	2415
69	179	2384
70	179	2353
71	180	2324
72	180	2295
73	181	2267
74	181	2240
75	182	2214
76	182	2188
77	182	2163
78	183	2138
79	183	2115
80	184	2094
81	185	2072
82	185	2048
83	185	2027
84	186	2006
85	186	1986
86	187	1966
87	187	1946
88	188	1926
89	188	1907
90	189	1889
91	189	1872
92	190	1855
93	190	1837
94	191	1820
95	191	1803
96	191	1787
97	192	1770
98	192	1754
99	193	1738
100	193	1723
101	194	1708
102	194	1694
103	194	1679
104	195	1665
105	195	1652
106	196	1640
107	196	1626
108	197	1613
109	197	1601
110	198	1589
111	198	1576
112	199	1564
113	199	1552
114	200	1540
115	200	1528
116	200	1516
117	201	1505
118	201	1494
119	202	1484
120	202	1473
121	203	1463
122	203	1454
123	204	1444
124	205	1435
125	205	1425
126	205	1415
127	206	1406
128	206	1397
129	207	1388
130	207	1379
131	208	1370
132	209	1362
133	209	1354
134	210	1347
135	210	1339
136	211	1330
137	211	1322
138	212	1313
139	212	1305
140	212	1297
141	213	1288
142	213	1280
143	214	1272
144	214	1266
145	215	1259
146	215	1253
147	216	1246
148	217	1239
149	217	1232
150	217	1225
151	218	1218
152	218	1211
153	219	1204
154	219	1197
155	220	1190
156	220	1184
157	221	1178
158	221	1172
159	222	1165
160	222	1158
161	222	1152
162	223	1146
163	223	1140
164	224	1134
165	224	1128
166	225	1122
167	225	1116
168	225	1110
169	226	1105
170	227	1101
171	227	1096
172	228	1091
173	228	1086
174	229	1081
175	229	1076
176	230	1070
177	230	1065
178	231	1060
179	231	1055
180	232	1049
181	232	1044
182	232	1039
183	233	1035
184	233	1030
185	234	1025
186	234	1020
187	235	1016
188	235	1011
189	236	1007
190	236	1002
191	237	997
192	237	993
193	238	989
194	238	985
195	239	980
196	239	976
197	240	972
198	240	968
199	241	964
200	241	959
201	241	955
202	242	952
203	242	947
204	243	943
205	243	939
206	244	935
207	244	931
208	245	927
209	245	923
210	246	920
211	246	916
212	247	912
213	247	909
214	247	905
215	248	901
216	248	898
217	249	894
218	249	890
219	250	886
220	250	883
221	251	879
222	251	876
223	251	872
224	252	869
225	252	866
226	253	863
227	253	859
228	254	856
229	254	853
230	255	850
